topic,name,full_name,url,stars,description,owner,language,last_updated,license,repo_type
statistics,Bookmarklet-Hacks-For-School,xploitspeeds/Bookmarklet-Hacks-For-School,https://github.com/xploitspeeds/Bookmarklet-Hacks-For-School,174,"* READ THE README FOR INFO!! * Incoming Tags- z score statistics,find mean median mode statistics in ms excel,variance,standard deviation,li",xploitspeeds,,2022-01,NOASSERTION,research
statistics,Foundations-of-Data-Science-with-Python,jmshea/Foundations-of-Data-Science-with-Python,https://github.com/jmshea/Foundations-of-Data-Science-with-Python,35,"Interactive flashcards and quizzes, as well as additional tutorials, animations, and code, for ""Foundations of Data Science with Python"" by ",jmshea,Jupyter Notebook,2026-03,,tutorial
statistics,stats_and_probability,chalmerlowe/stats_and_probability,https://github.com/chalmerlowe/stats_and_probability,34,Tutorial on statistics and probability,chalmerlowe,Jupyter Notebook,2018-05,,tutorial
statistics,CSE-Semester-4-IITKGP,ansh121/CSE-Semester-4-IITKGP,https://github.com/ansh121/CSE-Semester-4-IITKGP,14,"Subject :- Formal Language and Automata Theory (CS21004), Probability and Statistics (MA20104), Science of Happiness (HS62002), Software Eng",ansh121,Java,2021-09,,tutorial
data-cleaning,Advanced-Predictive-AI-Industrial-Machine-Learning-Program-Data_Cleaning_Preprocessing-ASS2,MortadhaMannai/Advanced-Predictive-AI-Industrial-Machine-Learning-Program-Data_Cleaning_Preprocessing-ASS2,https://github.com/MortadhaMannai/Advanced-Predictive-AI-Industrial-Machine-Learning-Program-Data_Cleaning_Preprocessing-ASS2,7,Data cleaning and preprocessing are essential steps in any data analysis or machine learning project. This repository provides examples and ,MortadhaMannai,Jupyter Notebook,2026-02,,tutorial
pandas,Complete-Python-Mastery,Pankaj-Str/Complete-Python-Mastery,https://github.com/Pankaj-Str/Complete-Python-Mastery,59,"Explore the world of Python programming with 'Complete Python Mastery'! Our repository, led by Pankaj, offers a series of in-depth tutorials",Pankaj-Str,Jupyter Notebook,2026-05,,tutorial
pandas,first-python-notebook,palewire/first-python-notebook,https://github.com/palewire/first-python-notebook,49,A step-by-step guide to analyzing data with Python and the Jupyter notebook.,palewire,Makefile,2025-05,MIT,tutorial
pandas,noBSstats,minireference/noBSstats,https://github.com/minireference/noBSstats,48,"Hands-on tutorials, exercises, and projects to accompany the No Bullshit Guide to Statistics",minireference,Jupyter Notebook,2026-05,MIT,tutorial
pandas,pandas_data_cleaning,KarrieK/pandas_data_cleaning,https://github.com/KarrieK/pandas_data_cleaning,46,A brief guide and tutorial on how to clean data using pandas and Jupyter notebook,KarrieK,,2024-02,,tutorial
pandas,machine-learning-for-dummies,mr-ubik/machine-learning-for-dummies,https://github.com/mr-ubik/machine-learning-for-dummies,32,"Series of talks/workshops aimed at guiding newcomers through Python basics, Data Analysis and Machine Learning.",mr-ubik,Jupyter Notebook,2018-07,,tutorial
pandas,FooDine,mgupta11/FooDine,https://github.com/mgupta11/FooDine,8,"FooDine

Concept: The app is created to serve the food ordering market and can be a direct competitor to companies like Food Panda. 

The fi",mgupta11,Java,2015-02,,tutorial
pandas,neo4j-tutorials,bhattbhavesh91/neo4j-tutorials,https://github.com/bhattbhavesh91/neo4j-tutorials,7,This repository is your ultimate guide to Neo4j tutorials using Python. It provides you with everything you need to know about using Neo4j w,bhattbhavesh91,Jupyter Notebook,2023-02,Apache-2.0,tutorial
numpy,numpy-cn,teadocs/numpy-cn,https://github.com/teadocs/numpy-cn,1910,NumPy官方中文文档（完整版）,teadocs,JavaScript,2023-10,,tutorial
numpy,practice-pandas-programming-projects,labex-labs/practice-pandas-programming-projects,https://github.com/labex-labs/practice-pandas-programming-projects,5,Build real Pandas projects with 3 beginner-friendly challenges. Learn by doing with guided coding exercises and practical applications.,labex-labs,,2025-10,,awesome-list
data-visualization,JoeyBlue-SQL-Trainings,EmbarkBlue/JoeyBlue-SQL-Trainings,https://github.com/EmbarkBlue/JoeyBlue-SQL-Trainings,76,"Comprehensive training resources for SQL and Microsoft BI tools. Includes setup guides, installation videos, tutorials on data integration, ",EmbarkBlue,TSQL,2024-10,MIT,tutorial
data-visualization,grafana-wallpaper,luizbizzio/grafana-wallpaper,https://github.com/luizbizzio/grafana-wallpaper,26,🖥️ A detailed guide on how to set up Grafana and display its dashboards as your desktop wallpaper. This project allows you to transform your,luizbizzio,Markdown,2026-04,MIT,research
data-visualization,esa-land-cover,milos-agathon/esa-land-cover,https://github.com/milos-agathon/esa-land-cover,10,"Harnessing the power of ESA’s satellite data and Microsoft’s Planetary Computer STAC API, we’re crafting detailed maps of land cover using R",milos-agathon,R,2024-05,,tutorial
data-visualization,MicrobiomeStat-Turtorial-Professional-Version,cafferychen777/MicrobiomeStat-Turtorial-Professional-Version,https://github.com/cafferychen777/MicrobiomeStat-Turtorial-Professional-Version,7,MicrobiomeStat Tutorial Repository: This is a comprehensive resource for learning how to use the MicrobiomeStat package. It provides a step-,cafferychen777,,2025-12,,tutorial
data-visualization,pose-format-tutorials,24-mohamedyehia/pose-format-tutorials,https://github.com/24-mohamedyehia/pose-format-tutorials,5,"Practical, end-to-end notebooks and examples that teach the pose-format library from basics to advanced workflows (conversion, Normalizing D",24-mohamedyehia,,2026-04,MIT,tutorial
matplotlib,matplotlib-cn,teadocs/matplotlib-cn,https://github.com/teadocs/matplotlib-cn,536,matplotlib中文文档,teadocs,JavaScript,2023-10,,tutorial
seaborn,DataVisualization,neerjad/DataVisualization,https://github.com/neerjad/DataVisualization,273,"Tutorials on visualizing data using python packages like bokeh, plotly, seaborn and igraph",neerjad,Jupyter Notebook,2020-06,,tutorial
seaborn,Seaborn-Tutorial,clair513/Seaborn-Tutorial,https://github.com/clair513/Seaborn-Tutorial,197,This repository is my attempt to help Data Science aspirants gain necessary Data Visualization skills required to progress in their career. ,clair513,Jupyter Notebook,2020-10,MIT,dataset
seaborn,DataViz,DataForScience/DataViz,https://github.com/DataForScience/DataViz,114,Data Visualization With Matplotlib and Seaborn,DataForScience,Jupyter Notebook,2024-09,MIT,tutorial
seaborn,Data-Visualization-with-Python,TirendazAcademy/Data-Visualization-with-Python,https://github.com/TirendazAcademy/Data-Visualization-with-Python,56,Data Visualization Tutorial | Matplotlib | Seaborn | Pandas  ,TirendazAcademy,Jupyter Notebook,2023-05,,tutorial
seaborn,visualization-tutorials,543877815/visualization-tutorials,https://github.com/543877815/visualization-tutorials,19,一些数据可视化的教程收藏，主要是matplotlib和seaborn,543877815,Jupyter Notebook,2020-04,,tutorial
seaborn,data_viz_python_tutorial,ultrajoules/data_viz_python_tutorial,https://github.com/ultrajoules/data_viz_python_tutorial,14,"An introduction to basic data visualizations using Pandas, Matplotlib, Seaborn, and Plotnine all combined in a single Jupyter Notebook.",ultrajoules,Jupyter Notebook,2024-06,,tutorial
seaborn,Seaborn,DataForScience/Seaborn,https://github.com/DataForScience/Seaborn,10,Data Visualization With Seaborn,DataForScience,Jupyter Notebook,2020-10,MIT,tutorial
plotly,Cufflinks-and-Plotly-Tutorial,AminuIsrael/Cufflinks-and-Plotly-Tutorial,https://github.com/AminuIsrael/Cufflinks-and-Plotly-Tutorial,8,Plotly and Cufflinks - A very interactive Python visualization tool for EDA and presentations.,AminuIsrael,Jupyter Notebook,2019-10,,tutorial
plotly,plotly-dashboards-with-dash,sourcecode369/plotly-dashboards-with-dash,https://github.com/sourcecode369/plotly-dashboards-with-dash,5,Implementation notebooks and tutorials for using interactive python visualizations using Plotly with Dash.,sourcecode369,Jupyter Notebook,2019-10,GPL-3.0,tutorial
mlops,mlops-guide.github.io,mlops-guide/mlops-guide.github.io,https://github.com/mlops-guide/mlops-guide.github.io,326,"🛠 MLOps end-to-end guide and tutorial website, using IBM Watson, DVC, CML, Terraform, Github Actions and more.",mlops-guide,JavaScript,2024-02,,tutorial
